model,short,query_id,patent,origin,qlang,src,n_targets,foreign_reach10
BAAI/bge-m3,bge-m3,EP-4633950-A1_en_q_de,EP-4633950-A1,synthetic,de,en,1,0.0
BAAI/bge-m3,bge-m3,EP-4633950-A1_fr_q_fr,EP-4633950-A1,original,fr,fr,1,0.0
BAAI/bge-m3,bge-m3,EP-4633950-A1_en_q_es,EP-4633950-A1,synthetic,es,en,1,0.0
BAAI/bge-m3,bge-m3,EP-4634629-A1_en_q_en,EP-4634629-A1,original,en,en,2,0.0
BAAI/bge-m3,bge-m3,EP-4634629-A1_de_q_de,EP-4634629-A1,original,de,de,2,0.0
BAAI/bge-m3,bge-m3,EP-4634629-A1_fr_q_fr,EP-4634629-A1,original,fr,fr,2,0.0
BAAI/bge-m3,bge-m3,EP-4634629-A1_en_q_es,EP-4634629-A1,synthetic,es,en,2,0.0
BAAI/bge-m3,bge-m3,EP-4633582-A1_en_q_es,EP-4633582-A1,synthetic,es,en,1,0.0
BAAI/bge-m3,bge-m3,EP-4634165-A1_en_q_es,EP-4634165-A1,synthetic,es,en,1,1.0
BAAI/bge-m3,bge-m3,EP-4633677-A1_en_q_de,EP-4633677-A1,synthetic,de,en,1,0.0
BAAI/bge-m3,bge-m3,EP-4634246-A1_en_q_en,EP-4634246-A1,original,en,en,1,1.0
BAAI/bge-m3,bge-m3,EP-4634120-A1_en_q_de,EP-4634120-A1,synthetic,de,en,1,0.0
BAAI/bge-m3,bge-m3,EP-4633638-A1_en_q_en,EP-4633638-A1,original,en,en,1,1.0
BAAI/bge-m3,bge-m3,EP-4633389-A1_en_q_en,EP-4633389-A1,original,en,en,1,1.0
BAAI/bge-m3,bge-m3,WO-2025209629-A1_de_q_es,WO-2025209629-A1,synthetic,es,de,1,1.0
BAAI/bge-m3,bge-m3,EP-4634132-A2_en_q_en,EP-4634132-A2,original,en,en,1,0.0
BAAI/bge-m3,bge-m3,EP-4634914-A1_en_q_es,EP-4634914-A1,synthetic,es,en,1,0.0
BAAI/bge-m3,bge-m3,EP-4634285-A1_en_q_de,EP-4634285-A1,synthetic,de,en,1,0.0
BAAI/bge-m3,bge-m3,EP-4634122-A1_fr_q_fr,EP-4634122-A1,original,fr,fr,1,0.0
BAAI/bge-m3,bge-m3,EP-4634365-A1_fr_q_fr,EP-4634365-A1,original,fr,fr,1,1.0
BAAI/bge-m3,bge-m3,WO-2025214709-A1_de_q_es,WO-2025214709-A1,synthetic,es,de,1,0.0
BAAI/bge-m3,bge-m3,EP-4633426-A2_en_q_es,EP-4633426-A2,synthetic,es,en,2,1.0
BAAI/bge-m3,bge-m3,EP-4630604-A1_de_q_es,EP-4630604-A1,synthetic,es,de,1,1.0
BAAI/bge-m3,bge-m3,EP-4634118-A1_en_q_es,EP-4634118-A1,synthetic,es,en,1,1.0
BAAI/bge-m3,bge-m3,EP-4634404-A1_en_q_de,EP-4634404-A1,synthetic,de,en,1,1.0
BAAI/bge-m3,bge-m3,EP-4633465-A1_en_q_de,EP-4633465-A1,synthetic,de,en,1,1.0
BAAI/bge-m3,bge-m3,EP-4633680-A1_en_q_es,EP-4633680-A1,synthetic,es,en,1,1.0
BAAI/bge-m3,bge-m3,WO-2025201606-A1_de_q_es,WO-2025201606-A1,synthetic,es,de,1,1.0
BAAI/bge-m3,bge-m3,EP-4634435-A1_en_q_de,EP-4634435-A1,synthetic,de,en,1,1.0
BAAI/bge-m3,bge-m3,EP-4634143-A1_en_q_de,EP-4634143-A1,synthetic,de,en,1,0.0
BAAI/bge-m3,bge-m3,EP-4634411-A1_en_q_de,EP-4634411-A1,synthetic,de,en,1,0.0
BAAI/bge-m3,bge-m3,EP-4634287-A1_en_q_es,EP-4634287-A1,synthetic,es,en,2,0.0
BAAI/bge-m3,bge-m3,EP-4633627-A1_en_q_de,EP-4633627-A1,synthetic,de,en,1,1.0
BAAI/bge-m3,bge-m3,EP-4633670-A1_fr_q_fr,EP-4633670-A1,original,fr,fr,1,1.0
BAAI/bge-m3,bge-m3,WO-2025202163-A1_fr_q_fr,WO-2025202163-A1,original,fr,fr,1,1.0
BAAI/bge-m3,bge-m3,WO-2025214852-A1_fr_q_fr,WO-2025214852-A1,original,fr,fr,1,0.0
BAAI/bge-m3,bge-m3,WO-2025214996-A1_fr_q_fr,WO-2025214996-A1,original,fr,fr,1,0.0
BAAI/bge-m3,bge-m3,EP-4630123-A1_de_q_de,EP-4630123-A1,original,de,de,1,0.0
BAAI/bge-m3,bge-m3,EP-4634646-A1_en_q_en,EP-4634646-A1,original,en,en,1,1.0
BAAI/bge-m3,bge-m3,EP-4634294-A1_en_q_en,EP-4634294-A1,original,en,en,1,1.0
BAAI/bge-m3,bge-m3,EP-4634436-A1_fr_q_fr,EP-4634436-A1,original,fr,fr,1,1.0
BAAI/bge-m3,bge-m3,EP-4633761-A1_en_q_en,EP-4633761-A1,original,en,en,1,0.0
BAAI/bge-m3,bge-m3,WO-2025215167-A1_de_q_de,WO-2025215167-A1,original,de,de,1,1.0
BAAI/bge-m3,bge-m3,EP-4626962-A1_de_q_en,EP-4626962-A1,synthetic,en,de,1,1.0
BAAI/bge-m3,bge-m3,EP-4626962-A1_de_q_de,EP-4626962-A1,original,de,de,1,1.0
BAAI/bge-m3,bge-m3,EP-4626962-A1_fr_q_fr,EP-4626962-A1,original,fr,fr,1,0.0
BAAI/bge-m3,bge-m3,EP-4626962-A1_de_q_es,EP-4626962-A1,synthetic,es,de,1,1.0
BAAI/bge-m3,bge-m3,WO-2025201936-A1_de_q_en,WO-2025201936-A1,synthetic,en,de,1,0.0
