model,short,query_id,qlang,same_share,foreign_share,base_same,overrep,entropy,clir_at_10,frac_en,frac_de,frac_es,frac_fr,frac_zh
google/embeddinggemma-300m,embeddinggemma,EP-4634926-A1_en_q_zh,zh,0.1,0.9,0.016815907848824987,5.946750000000001,1.1567796494470395,0.0,0.7,0.0,0.0,0.2,0.1
google/embeddinggemma-300m,embeddinggemma,EP-4633863-A2_en_q_zh,zh,0.1,0.9,0.016815907848824987,5.946750000000001,1.295461844238322,0.6666666666666666,0.6,0.0,0.0,0.3,0.1
google/embeddinggemma-300m,embeddinggemma,EP-4633797-A1_en_q_zh,zh,0.5,0.5,0.016815907848824987,29.73375,1.6854752972273344,1.0,0.3,0.0,0.1,0.1,0.5
google/embeddinggemma-300m,embeddinggemma,EP-4633777-A1_en_q_zh,zh,0.1,0.9,0.016815907848824987,5.946750000000001,2.1709505944546685,1.0,0.3,0.3,0.2,0.1,0.1
google/embeddinggemma-300m,embeddinggemma,EP-4633621-A1_en_q_zh,zh,0.1,0.9,0.016815907848824987,5.946750000000001,1.721928094887362,0.0,0.4,0.0,0.1,0.4,0.1
google/embeddinggemma-300m,embeddinggemma,EP-4634723-A1_en_q_zh,zh,0.0,1.0,0.016815907848824987,0.0,1.9709505944546686,0.0,0.3,0.3,0.2,0.2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633581-A1_en_q_zh,zh,1.0,0.0,0.016815907848824987,59.4675,-0.0,0.0,0.0,0.0,0.0,0.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634416-A1_en_q_zh,zh,0.2,0.8,0.016815907848824987,11.893500000000001,2.2464393446710154,0.0,0.2,0.3,0.2,0.1,0.2
google/embeddinggemma-300m,embeddinggemma,EP-4634305-A1_en_q_zh,zh,0.0,1.0,0.016815907848824987,0.0,1.6854752972273344,1.0,0.5,0.1,0.1,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633531-A1_en_q_zh,zh,0.0,1.0,0.016815907848824987,0.0,1.360964047443681,1.0,0.5,0.0,0.1,0.4,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634333-A1_en_q_zh,zh,0.1,0.9,0.016815907848824987,5.946750000000001,1.3567796494470397,1.0,0.7,0.0,0.1,0.1,0.1
google/embeddinggemma-300m,embeddinggemma,EP-4634212-A1_en_q_zh,zh,0.1,0.9,0.016815907848824987,5.946750000000001,1.7609640474436812,1.0,0.5,0.0,0.2,0.2,0.1
google/embeddinggemma-300m,embeddinggemma,EP-4629959-A1_de_q_zh,zh,0.4,0.6,0.016815907848824987,23.787000000000003,1.9219280948873623,1.0,0.2,0.2,0.0,0.2,0.4
google/embeddinggemma-300m,embeddinggemma,EP-4627881-A1_de_q_zh,zh,0.3,0.7,0.016815907848824987,17.84025,1.8464393446710154,1.0,0.4,0.1,0.0,0.2,0.3
google/embeddinggemma-300m,embeddinggemma,EP-4633576-A1_en_q_zh,zh,0.5,0.5,0.016815907848824987,29.73375,1.360964047443681,0.0,0.4,0.0,0.0,0.1,0.5
google/embeddinggemma-300m,embeddinggemma,EP-4633742-A2_en_q_zh,zh,0.0,1.0,0.016815907848824987,0.0,1.4854752972273344,1.0,0.5,0.0,0.3,0.2,0.0
