model,short,query_id,qlang,origin,auc_all,auc_same,auc_cross,margin_cross,norm_score_cross
google/embeddinggemma-300m,embeddinggemma,WO-2025201936-A1_fr_q_fr,fr,original,0.9153306613226453,1.0,0.8306613226452906,-0.5029857236031596,0.18200905761083763
google/embeddinggemma-300m,embeddinggemma,WO-2025201936-A1_de_q_es,es,synthetic,0.9804609218436874,,0.9804609218436874,-0.31490031990732964,0.4404558788738726
google/embeddinggemma-300m,embeddinggemma,EP-4634597-A1_en_q_en,en,original,0.9784569138276553,0.9899799599198397,0.966933867735471,-0.49993273708009495,0.35238211920001683
google/embeddinggemma-300m,embeddinggemma,EP-4634597-A1_en_q_de,de,synthetic,0.9994989979959921,,0.9994989979959921,0.09972308787402664,0.8233283509875157
google/embeddinggemma-300m,embeddinggemma,EP-4634597-A1_fr_q_fr,fr,original,0.9994989979959921,1.0,0.998997995991984,-0.034799617579195245,0.5904953358436243
google/embeddinggemma-300m,embeddinggemma,EP-4634597-A1_en_q_es,es,synthetic,0.9864729458917836,,0.9864729458917836,-0.33724001383299324,0.48169399805391006
google/embeddinggemma-300m,embeddinggemma,EP-4634381-A1_en_q_zh,zh,synthetic,0.7860721442885772,,0.7860721442885772,-0.6393207720552447,0.12443428175011667
google/embeddinggemma-300m,embeddinggemma,EP-4627024-A1_de_q_zh,zh,synthetic,0.4964964964964965,,0.4964964964964965,-0.8724653632399808,-0.0423012953628159
google/embeddinggemma-300m,embeddinggemma,EP-4634926-A1_en_q_zh,zh,synthetic,0.9343687374749499,,0.9343687374749499,-0.4804399220012771,0.2816188030681175
google/embeddinggemma-300m,embeddinggemma,EP-4633863-A2_en_q_zh,zh,synthetic,0.9913072550986293,,0.9913072550986293,-0.01231807330338736,0.6557960971407489
google/embeddinggemma-300m,embeddinggemma,EP-4633797-A1_en_q_zh,zh,synthetic,1.0,,1.0,0.35034565098831133,0.8901469751111376
google/embeddinggemma-300m,embeddinggemma,EP-4633777-A1_en_q_zh,zh,synthetic,0.998246492985972,,0.998246492985972,-0.03257371903602892,0.8386688170870408
google/embeddinggemma-300m,embeddinggemma,EP-4633621-A1_en_q_zh,zh,synthetic,0.9894789579158317,,0.9894789579158317,-0.2617533587121664,0.5914212940810178
google/embeddinggemma-300m,embeddinggemma,EP-4634723-A1_en_q_zh,zh,synthetic,0.7359719438877755,,0.7359719438877755,-0.681382957181785,0.06649287049455724
google/embeddinggemma-300m,embeddinggemma,EP-4633581-A1_en_q_zh,zh,synthetic,0.8106212424849699,,0.8106212424849699,-0.5388961420707451,0.1643092027829758
google/embeddinggemma-300m,embeddinggemma,EP-4634416-A1_en_q_zh,zh,synthetic,0.8792585170340681,,0.8792585170340681,-0.27278418242820257,0.3136593505500708
google/embeddinggemma-300m,embeddinggemma,EP-4634305-A1_en_q_zh,zh,synthetic,1.0,,1.0,0.5259343343454199,0.8771944065322707
google/embeddinggemma-300m,embeddinggemma,EP-4633531-A1_en_q_zh,zh,synthetic,0.9994989979959921,,0.9994989979959921,0.010073733443058152,0.8287799168226079
google/embeddinggemma-300m,embeddinggemma,EP-4634333-A1_en_q_zh,zh,synthetic,0.9964929859719439,,0.9964929859719439,-0.29242059977223833,0.4942588015527513
google/embeddinggemma-300m,embeddinggemma,EP-4634212-A1_en_q_zh,zh,synthetic,0.999498997995992,,0.999498997995992,0.005298630938943984,0.8254075096261091
google/embeddinggemma-300m,embeddinggemma,EP-4629959-A1_de_q_zh,zh,synthetic,0.996993987975952,,0.996993987975952,-0.10308254510042142,0.7457968785333242
google/embeddinggemma-300m,embeddinggemma,EP-4627881-A1_de_q_zh,zh,synthetic,0.9989979959919839,,0.9989979959919839,-0.021603151990027276,0.7486045849601444
google/embeddinggemma-300m,embeddinggemma,EP-4633576-A1_en_q_zh,zh,synthetic,0.9228456913827656,,0.9228456913827656,-0.3194460443149683,0.32742729726859615
google/embeddinggemma-300m,embeddinggemma,EP-4633742-A2_en_q_zh,zh,synthetic,0.9979959919839679,,0.9979959919839679,-0.009358644823634974,0.7475718647973845
google/embeddinggemma-300m,embeddinggemma,EP-4633791-A1_en_q_zh,zh,synthetic,0.99874749498998,,0.99874749498998,-0.01736772359079212,0.8944648023056627
google/embeddinggemma-300m,embeddinggemma,EP-4634111-A1_fr_q_fr,fr,original,0.7620240480961924,0.9549098196392786,0.5691382765531062,-0.7821281263712153,-0.02731147683695586
google/embeddinggemma-300m,embeddinggemma,EP-4633622-A2_en_q_es,es,synthetic,1.0,,1.0,0.2450374822128417,0.8198120422635993
google/embeddinggemma-300m,embeddinggemma,EP-4634187-A1_en_q_es_120,es,synthetic,0.9919839679358718,,0.9919839679358718,-0.14169122451717328,0.6070009566099358
google/embeddinggemma-300m,embeddinggemma,EP-4634139-A1_fr_q_fr,fr,original,1.0,1.0,1.0,0.03260469474142112,0.7337607839614713
google/embeddinggemma-300m,embeddinggemma,EP-4634136-A1_en_q_en,en,original,0.7299599198396794,0.7555110220440882,0.7044088176352705,-0.7906819951875574,0.03371201235162378
google/embeddinggemma-300m,embeddinggemma,EP-4634136-A1_en_q_de,de,synthetic,0.9223446893787575,,0.9223446893787575,-0.49195824740486416,0.2697237568792894
google/embeddinggemma-300m,embeddinggemma,EP-4634136-A1_fr_q_fr,fr,original,0.8592184368737475,0.9919839679358717,0.7264529058116233,-0.7360587576816757,0.0689288819111276
google/embeddinggemma-300m,embeddinggemma,EP-4634136-A1_en_q_es_125,es,synthetic,0.6628256513026052,,0.6628256513026052,-0.7831081910264033,0.026529558413552704
google/embeddinggemma-300m,embeddinggemma,EP-4634248-A1_en_q_en,en,original,0.998496993987976,1.0,0.9969939879759518,-0.2094334679921136,0.5341559492573641
google/embeddinggemma-300m,embeddinggemma,EP-4634142-A1_en_q_es,es,synthetic,0.998328318288198,,0.998328318288198,0.015869264672866402,0.7441524473375618
google/embeddinggemma-300m,embeddinggemma,WO-2025214812-A1_de_q_es,es,synthetic,0.9979959919839679,,0.9979959919839679,-0.04252657075814032,0.7292590916753742
google/embeddinggemma-300m,embeddinggemma,EP-4633662-A1_en_q_de,de,synthetic,0.9874749498997997,,0.9874749498997997,0.046839351254835696,0.614804781917769
google/embeddinggemma-300m,embeddinggemma,WO-2025153617-A3_de_q_de,de,original,0.9989979959919839,0.9994989979959918,0.998496993987976,-0.13006001319661917,0.7718717667987482
google/embeddinggemma-300m,embeddinggemma,EP-4634596-A1_en_q_en,en,original,1.0,1.0,1.0,0.18985141458598434,0.6351304884788178
google/embeddinggemma-300m,embeddinggemma,EP-4634596-A1_en_q_de,de,synthetic,0.999498997995992,,0.999498997995992,0.12567213659702328,0.7564848894054244
google/embeddinggemma-300m,embeddinggemma,EP-4634596-A1_fr_q_fr,fr,original,1.0,1.0,1.0,0.1732556698475648,0.6742349536148807
google/embeddinggemma-300m,embeddinggemma,EP-4634596-A1_en_q_es_135,es,synthetic,0.998997995991984,,0.998997995991984,0.09073092581863165,0.8141530818931761
BAAI/bge-m3,bge-m3,EP-4633662-A1_en_q_en,en,original,0.844188376753507,0.997995991983968,0.6903807615230462,-0.7943139642348935,0.03988250680950309
BAAI/bge-m3,bge-m3,EP-4630509-A1_fr_q_fr,fr,original,0.9138276553106213,1.0,0.8276553106212425,-0.572765023762894,0.07432260502096748
BAAI/bge-m3,bge-m3,EP-4634248-A1_en_q_es,es,synthetic,0.25701402805611223,,0.25701402805611223,-0.9173253307409448,-0.16779056655091296
BAAI/bge-m3,bge-m3,EP-4634187-A1_en_q_es,es,synthetic,0.9934869739478958,,0.9934869739478958,-0.08466238608119335,0.6706294438800671
BAAI/bge-m3,bge-m3,EP-4634142-A1_fr_q_fr,fr,original,0.13113113113113117,0.13113113113113117,,,
BAAI/bge-m3,bge-m3,EP-4633768-A2_en_q_es,es,synthetic,0.4799599198396794,,0.4799599198396794,-0.5827116334525635,0.03831978383611043
BAAI/bge-m3,bge-m3,EP-4633645-A1_fr_q_fr,fr,original,0.9594188376753506,0.9318637274549098,0.9869739478957915,-0.3670041740228456,0.45781580582156023
BAAI/bge-m3,bge-m3,EP-4633622-A2_en_q_de,de,synthetic,1.0,,1.0,0.4475388099349788,0.8638183154116884
BAAI/bge-m3,bge-m3,EP-4634601-A1_en_q_en,en,original,0.872745490981964,0.9919839679358716,0.7535070140280561,-0.6235426977114962,0.12940276707132656
BAAI/bge-m3,bge-m3,EP-4630626-A1_de_q_de,de,original,0.9989979959919839,0.9989979959919839,0.9989979959919839,-0.2632126477310805,0.6356270891496157
BAAI/bge-m3,bge-m3,EP-4630600-A1_de_q_en,en,synthetic,0.6526526526526526,,0.6526526526526526,-0.8208557796959387,0.016973965936584772
BAAI/bge-m3,bge-m3,EP-4633632-A1_en_q_es,es,synthetic,0.9518555667001003,,0.9518555667001003,-0.2734393109422086,0.3791470072020336
BAAI/bge-m3,bge-m3,EP-4634136-A1_en_q_es,es,synthetic,0.6206206206206206,,0.6206206206206206,-0.7780436577184714,0.011856755866620636
BAAI/bge-m3,bge-m3,EP-4634157-A1_en_q_de,de,synthetic,0.9213426853707416,,0.9213426853707416,-0.41535757280334407,0.3229281182916944
BAAI/bge-m3,bge-m3,EP-4634111-A1_en_q_de,de,synthetic,0.4804609218436874,,0.4804609218436874,-0.7775598948219552,-0.038253042212319024
BAAI/bge-m3,bge-m3,EP-4634596-A1_en_q_es,es,synthetic,0.20390781563126253,,0.20390781563126253,-0.9304916758437519,-0.12963062875118614
BAAI/bge-m3,bge-m3,EP-4634139-A1_en_q_es,es,synthetic,0.999498997995992,,0.999498997995992,0.3057813760543815,0.7370814149697312
BAAI/bge-m3,bge-m3,WO-2025153617-A3_de_q_en,en,synthetic,0.5671342685370742,,0.5671342685370742,-0.6756672511202028,0.016359607974959972
BAAI/bge-m3,bge-m3,EP-4634251-A1_en_q_es,es,synthetic,0.16216216216216217,,0.16216216216216217,-0.9624716020108757,-0.14223445920569314
BAAI/bge-m3,bge-m3,EP-4634426-A1_en_q_es,es,synthetic,0.9033767970578401,,0.9033767970578401,-0.350161788498309,0.28450457761478776
BAAI/bge-m3,bge-m3,EP-4634729-A1_en_q_de,de,synthetic,0.999498997995992,,0.999498997995992,0.12769801620022295,0.7999677873475038
BAAI/bge-m3,bge-m3,EP-4626569-A1_de_q_en,en,synthetic,0.8206412825651302,,0.8206412825651302,-0.3709060642923247,0.25847049406159417
BAAI/bge-m3,bge-m3,EP-4634394-A2_en_q_es,es,synthetic,1.0,,1.0,0.05040314206200157,0.8578232186775514
BAAI/bge-m3,bge-m3,EP-4634424-A1_en_q_es,es,synthetic,0.9894789579158316,,0.9894789579158316,-0.04466746651966677,0.6411635245587642
BAAI/bge-m3,bge-m3,EP-4633602-A1_en_q_de,de,synthetic,0.6726726726726726,,0.6726726726726726,-0.7738449628488655,0.0380724462241474
BAAI/bge-m3,bge-m3,EP-4634337-A1_en_q_en,en,original,0.9744488977955912,0.9919839679358717,0.9569138276553106,-0.4317269076305221,0.3606165561015778
BAAI/bge-m3,bge-m3,EP-4634128-A1_en_q_en,en,original,0.962962962962963,0.962962962962963,,,
BAAI/bge-m3,bge-m3,EP-4633896-A1_en_q_en,en,original,0.9629629629629629,0.9629629629629629,,,
BAAI/bge-m3,bge-m3,WO-2025215091-A1_fr_q_fr,fr,original,0.9278557114228457,0.8917835671342685,0.9639278557114229,-0.4894265406600378,0.34759079455028574
BAAI/bge-m3,bge-m3,EP-4633599-A1_fr_q_fr,fr,original,0.9969939879759518,0.9969939879759518,0.9969939879759518,-0.1609781654005576,0.6635486329300668
BAAI/bge-m3,bge-m3,EP-4633656-A1_fr_q_fr,fr,original,0.9624624624624624,,0.9624624624624624,-0.38242601049408764,0.4302176659944663
BAAI/bge-m3,bge-m3,EP-4634396-A1_fr_q_fr,fr,original,0.9999999999999999,1.0,1.0,0.5183497066536196,0.9180867862307762
BAAI/bge-m3,bge-m3,EP-4633893-A1_fr_q_fr,fr,original,0.8967935871743488,0.9769539078156312,0.8166332665330662,-0.6734041084792142,0.14542097980911858
BAAI/bge-m3,bge-m3,EP-4633462-A1_en_q_en,en,original,0.9994989979959921,1.0,0.998997995991984,-0.14930295926933426,0.6864535289126552
BAAI/bge-m3,bge-m3,EP-4633386-A1_en_q_en,en,original,0.936372745490982,0.9949899799599199,0.8777555110220441,-0.7504723749449489,0.12788730083446107
BAAI/bge-m3,bge-m3,EP-4633970-A1_fr_q_fr,fr,original,0.9884769539078156,0.9939879759519039,0.9829659318637274,-0.5447253522967922,0.32783101825497296
BAAI/bge-m3,bge-m3,EP-4633415-A1_en_q_en,en,original,0.5756513026052104,0.9919839679358717,0.1593186372745491,-0.9773122426302373,-0.11296505685401803
BAAI/bge-m3,bge-m3,EP-4633415-A1_en_q_de,de,synthetic,0.9849699398797596,,0.9849699398797596,-0.5082390555828822,0.32885404492101683
BAAI/bge-m3,bge-m3,EP-4633415-A1_fr_q_fr,fr,original,0.7767767767767768,,0.7767767767767768,-0.7362926853288033,0.09709060933301983
BAAI/bge-m3,bge-m3,EP-4633415-A1_en_q_es,es,synthetic,0.9974949899799599,,0.9974949899799599,0.04499964796877967,0.7151189316262654
BAAI/bge-m3,bge-m3,EP-4633950-A1_en_q_en,en,original,0.6753507014028057,0.9839679358717436,0.36673346693386777,-0.8763390899409025,-0.11787791340611345
BAAI/bge-m3,bge-m3,EP-4633950-A1_en_q_es,es,synthetic,0.9169169169169169,,0.9169169169169169,-0.7087880496054113,0.16964599887373305
BAAI/bge-m3,bge-m3,EP-4634629-A1_en_q_en,en,original,0.8688688688688689,0.8688688688688689,,,
BAAI/bge-m3,bge-m3,EP-4634629-A1_de_q_de,de,original,0.8178178178178178,0.8178178178178178,,,
